author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,street,house_number,underground
realtor,Химки,14.0,14.0,1.0,42.6,7500000.0,2018.0,16.4,15.9, 1-я Лесная,12.0,Подрезково
real_estate_agent,Химки,3.0,6.0,1.0,42.5,7500000.0,-1.0,24.2,10.0, Папанина,12.0,Сходня
realtor,Химки,6.0,19.0,1.0,48.6,8300000.0,2017.0,21.0,15.9, 1-я Лесная,12.0,Новоподрезково
homeowner,Химки,11.0,19.0,1.0,42.5,8150000.0,2014.0,30.0,9.2,Центральная ,12.0,Подрезково
realtor,Химки,18.0,25.0,1.0,50.0,10500000.0,2013.0,22.0,10.0,Юбилейный проспект,12.0,Молжаниново
realtor,Химки,5.0,7.0,1.0,32.5,6800000.0,2014.0,15.0,8.0,проезд Набережный,12.0,Шереметьевская
real_estate_agent,Химки,14.0,25.0,1.0,37.2,8000000.0,2005.0,20.7,10.2,Молодежная ,50.0,Молжаниново
real_estate_agent,Химки,11.0,25.0,1.0,42.0,8500000.0,-1.0,21.0,11.0,проспект Мельникова,15.0,Молжаниново
realtor,Химки,17.0,18.0,1.0,30.4,6800000.0,2019.0,15.0,7.6, Германа Титова,6.0,Химки
real_estate_agent,Химки,8.0,20.0,1.0,40.0,10700000.0,2020.0,28.3,11.0,Ленинский проспект,24.0,Химки
real_estate_agent,Химки,8.0,17.0,1.0,42.0,9500000.0,2003.0,28.3,11.0,Юбилейный проспект,12.0,Химки
real_estate_agent,Химки,21.0,23.0,1.0,37.1,7799000.0,2015.0,16.0,12.0, Академика Грушина,8.0,Речной вокзал
